Année,Indicateur,Valeur,Perimètre juridique,Unité
2020,Salariés en situation de handicap,,Auchan,nombre
2021,Salariés en situation de handicap,,Auchan,nombre
2022,Salariés en situation de handicap,,Auchan,nombre
2021,Salariés en situation de handicap,10902,Carrefour,nombre
2022,Salariés en situation de handicap,11281,Carrefour,nombre
2023,Salariés en situation de handicap,13358,Carrefour,nombre
2021,Salariés en situation de handicap,222,CNP,nombre
2022,Salariés en situation de handicap,231,CNP,nombre
2023,Salariés en situation de handicap,254,CNP,nombre
2020,Salariés en situation de handicap,,Decathlon,nombre
2021,Salariés en situation de handicap,,Decathlon,nombre
2022,Salariés en situation de handicap,,Decathlon,nombre
2023,Salariés en situation de handicap,,Decathlon,nombre
2019,Salariés en situation de handicap,189,ENGIE,nombre
2020,Salariés en situation de handicap,155,ENGIE,nombre
2021,Salariés en situation de handicap,154,ENGIE,nombre
2019,Salariés en situation de handicap,5247,Orange,nombre
2020,Salariés en situation de handicap,4748,Orange,nombre
2021,Salariés en situation de handicap,3685,Orange,nombre
2020,Salariés en situation de handicap (%),4,Auchan,pourcentage
2021,Salariés en situation de handicap (%),4.6,Auchan,pourcentage
2022,Salariés en situation de handicap (%),4.1,Auchan,pourcentage
2021,Salariés en situation de handicap (%),3.4,Carrefour,pourcentage
2022,Salariés en situation de handicap (%),3.7,Carrefour,pourcentage
2023,Salariés en situation de handicap (%),4,Carrefour,pourcentage
2021,Salariés en situation de handicap (%),7.3,CNP,pourcentage
2022,Salariés en situation de handicap (%),7.4,CNP,pourcentage
2023,Salariés en situation de handicap (%),7.9,CNP,pourcentage
2020,Salariés en situation de handicap (%),3.2,Decathlon,pourcentage
2021,Salariés en situation de handicap (%),3.1,Decathlon,pourcentage
2022,Salariés en situation de handicap (%),3.2,Decathlon,pourcentage
2023,Salariés en situation de handicap (%),3.5,Decathlon,pourcentage
2019,Salariés en situation de handicap (%),,ENGIE,pourcentage
2020,Salariés en situation de handicap (%),,ENGIE,pourcentage
2021,Salariés en situation de handicap (%),,ENGIE,pourcentage
2019,Salariés en situation de handicap (%),,Orange,pourcentage
2020,Salariés en situation de handicap (%),,Orange,pourcentage
2021,Salariés en situation de handicap (%),,Orange,pourcentage
