,0,1,2
0,TURNOVER,TURNOVER,TURNOVER
1,Taux de turnover sur les effectifs permanents (du 01/01 au 31/12) :,Taux de turnover sur les effectifs permanents (du 01/01 au 31/12) :,Taux de turnover sur les effectifs permanents (du 01/01 au 31/12) :
2, France,"18,5 %","19,3 % (note 35)"
3, Espagne,"13,8 %","19,1 %"
4, Belgique,"12,3 %","13,8 %"
5, Italie,"7,2 %","9,2 %"
6, Chine,"30,6 %","36,7 %"
7, Portugal,"43,5 %","18,4 %"
8, Pologne,"18,9 %","22,6 %"
9, Allemagne,"36,9 %","25,7 %"
10, Russie,"28,1 %","38,9 %"
11, Hongrie,"28,2 %","31,7 %"
12, Inde,"34,7 %","40,2 %"
13, Brésil,"34,7 %","47,5 %"
14, République Tchèque,"17,7 %","25,3 %"
15, Turquie,"53,8 %","66,4 %"
16, Roumanie,"43,2 %","40,2 %"
17, Royaume-Uni,"48,5 %",45 %
18, Maroc,"52,7 %","77,8 %"
19, Pays-Bas,n/a,30 %
20, Mexique,n/a,"35,8 %"
21, Taïwan,n/a,"44,8 %"
