,DIVERSITÉ ET INCLUSION,2022,2023
0,DIVERSITÉ & NOMBRE DE NATIONALITÉS (PÉRIMÈTRE 22 PAYS/RÉGIONS),DIVERSITÉ & NOMBRE DE NATIONALITÉS (PÉRIMÈTRE 22 PAYS/RÉGIONS),DIVERSITÉ & NOMBRE DE NATIONALITÉS (PÉRIMÈTRE 22 PAYS/RÉGIONS)
1,Nombre de nationalité (situation au 31/12) :,,
2, France,7,84
3, Espagne,52,53
4, Belgique,32,29
5, Italie,71,70
6, Chine continentale,18,19
7, Portuga,10,15
8, Pologne,8,9
9, Russie,8,-
10, Allemagne,82,86
11, Hongr,6,6
12, Inde,5,6
13, Brésil,6,7
14, République Tchèque,6,8
15, Turquie,6,5
16, Roumanie,6,5
17, Royaume-Uni,72,67
18, Maroc,2,1
19, Mexique,9,12
20, Pays-Bas,54,33
21, Taïwan,10,12
22, Suisse,40,40
23, Singapour,27,25
24, Canada,n/a,26
25,DIVERSITÉ & INTERNATIONALISATION DU TOP MANAGEMENT (PÉRIMÈTRE MONDE),DIVERSITÉ & INTERNATIONALISATION DU TOP MANAGEMENT (PÉRIMÈTRE MONDE),DIVERSITÉ & INTERNATIONALISATION DU TOP MANAGEMENT (PÉRIMÈTRE MONDE)
26,% d'internationalisation du top managem  (situation au 31/12),23 %,27 % (Note 93)
